customerid,firstname,lastname,orderid,quantity,title,price,categoryname
405,YTUQHI,VLSWODMHSL,18,1,ACADEMY LOST,12.99,Comedy
405,YTUQHI,VLSWODMHSL,18,3,ACADEMY DUFFEL,9.99,New
405,YTUQHI,VLSWODMHSL,18,1,ACADEMY POCUS,16.99,Family
405,YTUQHI,VLSWODMHSL,18,2,ACADEMY CALENDAR,11.99,Family
405,YTUQHI,VLSWODMHSL,18,2,ACADEMY MILE,17.99,Sports
405,YTUQHI,VLSWODMHSL,18,1,ACADEMY PEACH,28.99,Drama
577,JEOXBO,AVHDEOWIHU,19,1,ACADEMY WONDERLAND,26.99,Animation
577,JEOXBO,AVHDEOWIHU,19,1,ACADEMY SPIKING,15.99,Foreign
873,GQGSJE,PLJKSHIXCY,20,3,ACADEMY SATURN,18.99,Sci-Fi
873,GQGSJE,PLJKSHIXCY,20,3,ACADEMY CARRIE,13.99,Foreign
873,GQGSJE,PLJKSHIXCY,20,3,ACADEMY GROSSE,27.99,Horror
873,GQGSJE,PLJKSHIXCY,20,3,ACADEMY VIRGIN,15.99,Animation
873,GQGSJE,PLJKSHIXCY,20,1,ACADEMY SUMMER,28.99,New
873,GQGSJE,PLJKSHIXCY,20,2,ACADEMY SIDE,23.99,Sports
873,GQGSJE,PLJKSHIXCY,20,3,ACADEMY EYES,12.99,Animation
873,GQGSJE,PLJKSHIXCY,20,3,ACADEMY TREATMENT,15.99,New
873,GQGSJE,PLJKSHIXCY,20,2,ACADEMY KING,27.99,Games
548,UWLNZB,WVVXXYPAUH,21,3,ACADEMY INTENTIONS,21.99,Comedy
548,UWLNZB,WVVXXYPAUH,21,1,ACADEMY KICK,13.99,Family
548,UWLNZB,WVVXXYPAUH,21,3,ACADEMY CONTACT,29.99,Sports
548,UWLNZB,WVVXXYPAUH,21,1,ACADEMY REUNION,27.99,Documentary
548,UWLNZB,WVVXXYPAUH,21,2,ACADEMY MULAN,29.99,Family
1449,FHCKUH,ZBCYKFRCMK,22,1,ACADEMY KING,27.99,Games
1449,FHCKUH,ZBCYKFRCMK,22,2,ACADEMY CHASING,13.99,Animation
1864,TKZHIM,OQQSLWSCBC,23,3,ACADEMY STAGE,29.99,Classics
1864,TKZHIM,OQQSLWSCBC,23,2,ACADEMY KILL,14.99,Children
1864,TKZHIM,OQQSLWSCBC,23,2,ACADEMY HANDICAP,11.99,New
1864,TKZHIM,OQQSLWSCBC,23,1,ACADEMY MUSCLE,18.99,Comedy
1864,TKZHIM,OQQSLWSCBC,23,1,ACADEMY CIRCUS,28.99,Classics
1864,TKZHIM,OQQSLWSCBC,23,2,ACADEMY BUTCH,24.99,Sports
577,JEOXBO,AVHDEOWIHU,24,3,ACADEMY HOMICIDE,26.99,Comedy
531,DSSLNC,CYPULYPVQK,25,1,ACADEMY JOON,27.99,Music
531,DSSLNC,CYPULYPVQK,25,2,ACADEMY TERMINATOR,9.99,Animation
531,DSSLNC,CYPULYPVQK,25,1,ACADEMY LIAISONS,22.99,Sci-Fi
531,DSSLNC,CYPULYPVQK,25,2,ACADEMY MANNEQUIN,17.99,Children
531,DSSLNC,CYPULYPVQK,25,2,ACADEMY SPIRIT,22.99,New
531,DSSLNC,CYPULYPVQK,25,1,ACADEMY DOUBLE,17.99,Action
531,DSSLNC,CYPULYPVQK,25,2,ACADEMY RIDGEMONT,28.99,Horror
677,IMLGJI,CRKBUUOXOT,26,1,ACADEMY HEAVENLY,10.99,Travel
677,IMLGJI,CRKBUUOXOT,26,3,ACADEMY SHANGHAI,25.99,Documentary
230,GJZALL,CYLWMFMCGZ,27,2,ACADEMY BAKED,13.99,Travel
230,GJZALL,CYLWMFMCGZ,27,3,ACADEMY WORDS,22.99,Children
230,GJZALL,CYLWMFMCGZ,27,2,ACADEMY DARLING,17.99,Sci-Fi
230,GJZALL,CYLWMFMCGZ,27,1,ACADEMY SUNSET,18.99,Travel
230,GJZALL,CYLWMFMCGZ,27,2,ACADEMY BROOKLYN,25.99,Children
230,GJZALL,CYLWMFMCGZ,27,2,ACADEMY FANTASIA,27.99,Family
230,GJZALL,CYLWMFMCGZ,27,1,ACADEMY SLUMS,25.99,Family
107,ZKZXTY,TEZORKZQKG,28,2,ACADEMY POTTER,21.99,New
107,ZKZXTY,TEZORKZQKG,28,2,ACADEMY CARIBBEAN,28.99,Sports
107,ZKZXTY,TEZORKZQKG,28,2,ACADEMY MINDS,16.99,Family
107,ZKZXTY,TEZORKZQKG,28,2,ACADEMY MOONSHINE,24.99,Documentary
107,ZKZXTY,TEZORKZQKG,28,3,ACADEMY FATAL,28.99,Family
107,ZKZXTY,TEZORKZQKG,28,1,ACADEMY JAWBREAKER,13.99,Games
107,ZKZXTY,TEZORKZQKG,28,2,ACADEMY MUSIC,23.99,Music
107,ZKZXTY,TEZORKZQKG,28,2,ACADEMY NEIGHBORS,29.99,Classics
1660,FZRGGM,LFIJPJSLGN,29,1,ACADEMY UNFORGIVEN,29.99,Sports
451,OERYOI,HQCCYHUPSF,30,3,ACADEMY GILMORE,20.99,Foreign
451,OERYOI,HQCCYHUPSF,30,3,ACADEMY GABLES,21.99,Games
451,OERYOI,HQCCYHUPSF,30,1,ACADEMY PARTY,15.99,Action
1557,JRNRDO,KSLSIDYHKK,31,1,ACADEMY FEUD,19.99,New
1557,JRNRDO,KSLSIDYHKK,31,2,ACADEMY CUPBOARD,27.99,Animation
1557,JRNRDO,KSLSIDYHKK,31,3,ACADEMY CABIN,13.99,Children
1557,JRNRDO,KSLSIDYHKK,31,3,ACADEMY SHANE,26.99,Animation
1557,JRNRDO,KSLSIDYHKK,31,2,ACADEMY CYCLONE,22.99,Sports
1557,JRNRDO,KSLSIDYHKK,31,2,ACADEMY FIRE,27.99,Action
1557,JRNRDO,KSLSIDYHKK,31,2,ACADEMY DINOSAUR,20.99,Foreign
1557,JRNRDO,KSLSIDYHKK,31,1,ACADEMY LOST,12.99,Comedy
30,MHFGOH,DTMMFWDHEA,32,3,ACADEMY FEATHERS,25.99,Classics
30,MHFGOH,DTMMFWDHEA,32,2,ACADEMY DUFFEL,9.99,New
30,MHFGOH,DTMMFWDHEA,32,3,ACADEMY MAKER,29.99,Action
30,MHFGOH,DTMMFWDHEA,32,3,ACADEMY PLUTO,9.99,Children
624,UPJHTC,CWERDOETIU,33,3,ACADEMY LOST,12.99,Comedy
1286,UDMZXI,SWTJCBXERW,34,3,ACADEMY GO,15.99,Children
1286,UDMZXI,SWTJCBXERW,34,3,ACADEMY SKY,20.99,Comedy
1286,UDMZXI,SWTJCBXERW,34,1,ACADEMY CITIZEN,15.99,New
1286,UDMZXI,SWTJCBXERW,34,3,ACADEMY BEETHOVEN,18.99,Sci-Fi
1238,RSHJEX,XKSMCFNRVF,35,1,ACADEMY ACE,20.99,Documentary
1238,RSHJEX,XKSMCFNRVF,35,1,ACADEMY FEATHERS,25.99,Classics
1238,RSHJEX,XKSMCFNRVF,35,3,ACADEMY PAPI,18.99,Foreign
1238,RSHJEX,XKSMCFNRVF,35,2,ACADEMY CONTROL,14.99,Classics
1238,RSHJEX,XKSMCFNRVF,35,3,ACADEMY PEAK,15.99,Animation
1238,RSHJEX,XKSMCFNRVF,35,1,ACADEMY PANKY,12.99,Action
373,GJFVMO,RTEBWFBPXD,36,3,ACADEMY SPINAL,29.99,Music
373,GJFVMO,RTEBWFBPXD,36,1,ACADEMY TRAINSPOTTING,14.99,Animation
373,GJFVMO,RTEBWFBPXD,36,3,ACADEMY HANDICAP,11.99,New
373,GJFVMO,RTEBWFBPXD,36,2,ACADEMY SUSPECTS,25.99,Animation
373,GJFVMO,RTEBWFBPXD,36,3,ACADEMY ROCKY,25.99,Drama
1854,UOZVJO,NJRIRWDVOJ,37,2,ACADEMY KENTUCKIAN,24.99,Animation
1854,UOZVJO,NJRIRWDVOJ,37,3,ACADEMY VICTORY,28.99,Comedy
1854,UOZVJO,NJRIRWDVOJ,37,2,ACADEMY SNATCHERS,14.99,Foreign
1854,UOZVJO,NJRIRWDVOJ,37,3,ACADEMY PARIS,9.99,Games
1854,UOZVJO,NJRIRWDVOJ,37,1,ACADEMY VANISHING,9.99,Sci-Fi
1854,UOZVJO,NJRIRWDVOJ,37,2,ACADEMY TALENTED,24.99,Classics
1854,UOZVJO,NJRIRWDVOJ,37,3,ACADEMY OPERATION,19.99,Drama
1854,UOZVJO,NJRIRWDVOJ,37,3,ACADEMY SECRET,16.99,Horror
1854,UOZVJO,NJRIRWDVOJ,37,2,ACADEMY DURHAM,26.99,Horror
334,JYYHGJ,SZYTQOTQSB,38,2,ACADEMY TADPOLE,17.99,Documentary
334,JYYHGJ,SZYTQOTQSB,38,2,ACADEMY HEDWIG,18.99,Foreign
334,JYYHGJ,SZYTQOTQSB,38,2,ACADEMY MOONWALKER,18.99,Sci-Fi
334,JYYHGJ,SZYTQOTQSB,38,1,ACADEMY LUCK,20.99,Sports
334,JYYHGJ,SZYTQOTQSB,38,1,ACADEMY MINE,19.99,Drama
334,JYYHGJ,SZYTQOTQSB,38,2,ACADEMY PSYCHO,25.99,Children
334,JYYHGJ,SZYTQOTQSB,38,2,ACADEMY SPLENDOR,25.99,Action
334,JYYHGJ,SZYTQOTQSB,38,2,ACADEMY CALIFORNIA,15.99,Drama
97,MTCIVR,GNBTVBWIQP,39,2,ACADEMY OPERATION,19.99,Drama
97,MTCIVR,GNBTVBWIQP,39,2,ACADEMY CHINATOWN,11.99,Foreign
97,MTCIVR,GNBTVBWIQP,39,2,ACADEMY DOZEN,24.99,Children
97,MTCIVR,GNBTVBWIQP,39,3,ACADEMY ALTER,27.99,Travel
1626,IRXEYJ,FXRCUSYUVQ,40,3,ACADEMY JAWS,9.99,New
1626,IRXEYJ,FXRCUSYUVQ,40,1,ACADEMY BEAR,14.99,Drama
1626,IRXEYJ,FXRCUSYUVQ,40,2,ACADEMY ORANGE,16.99,Documentary
1626,IRXEYJ,FXRCUSYUVQ,40,1,ACADEMY DESIRE,28.99,Animation
1626,IRXEYJ,FXRCUSYUVQ,40,3,ACADEMY NOVOCAINE,12.99,Animation
926,ZQDERT,WILWOHBRJF,41,3,ACADEMY WAIT,26.99,Animation
926,ZQDERT,WILWOHBRJF,41,3,ACADEMY TOWN,26.99,Family
926,ZQDERT,WILWOHBRJF,41,2,ACADEMY FREDDY,12.99,Foreign
926,ZQDERT,WILWOHBRJF,41,2,ACADEMY DEER,17.99,Music
926,ZQDERT,WILWOHBRJF,41,2,ACADEMY VOLUME,12.99,Games
926,ZQDERT,WILWOHBRJF,41,3,ACADEMY TEXAS,15.99,Foreign
926,ZQDERT,WILWOHBRJF,41,2,ACADEMY CORE,18.99,Travel
926,ZQDERT,WILWOHBRJF,41,3,ACADEMY SEVEN,24.99,Action
516,QKFPZT,IIDMVYGBDE,42,2,ACADEMY FRANKENSTEIN,11.99,Sci-Fi
516,QKFPZT,IIDMVYGBDE,42,2,ACADEMY MASK,24.99,Games
516,QKFPZT,IIDMVYGBDE,42,1,ACADEMY NEWTON,12.99,Action
516,QKFPZT,IIDMVYGBDE,42,2,ACADEMY JAWS,9.99,New
516,QKFPZT,IIDMVYGBDE,42,3,ACADEMY PANKY,12.99,Action
516,QKFPZT,IIDMVYGBDE,42,2,ACADEMY DARLING,17.99,Sci-Fi
516,QKFPZT,IIDMVYGBDE,42,1,ACADEMY SUNSET,18.99,Travel
516,QKFPZT,IIDMVYGBDE,42,1,ACADEMY GRAFFITI,23.99,Travel
516,QKFPZT,IIDMVYGBDE,42,2,ACADEMY OUTFIELD,26.99,Classics
1193,FOFQQH,PAUBNAYPZY,43,1,ACADEMY MASSAGE,23.99,Action
1193,FOFQQH,PAUBNAYPZY,43,2,ACADEMY AMADEUS,15.99,Games
1193,FOFQQH,PAUBNAYPZY,43,3,ACADEMY ALADDIN,9.99,Sports
1193,FOFQQH,PAUBNAYPZY,43,3,ACADEMY MOURNING,21.99,Horror
1193,FOFQQH,PAUBNAYPZY,43,3,ACADEMY THIN,25.99,Horror
1193,FOFQQH,PAUBNAYPZY,43,2,ACADEMY CONFIDENTIAL,17.99,Children
1591,WCBRKH,RFDDOIWGSD,44,1,ACADEMY CLERKS,12.99,Comedy
1591,WCBRKH,RFDDOIWGSD,44,2,ACADEMY TEQUILA,29.99,Games
1591,WCBRKH,RFDDOIWGSD,44,3,ACADEMY TOWN,26.99,Family
1591,WCBRKH,RFDDOIWGSD,44,1,ACADEMY JASON,29.99,Games
1591,WCBRKH,RFDDOIWGSD,44,1,ACADEMY VISION,28.99,Music
1591,WCBRKH,RFDDOIWGSD,44,2,ACADEMY SUNSET,18.99,Travel
1591,WCBRKH,RFDDOIWGSD,44,3,ACADEMY RECORDS,29.99,Documentary
1591,WCBRKH,RFDDOIWGSD,44,1,ACADEMY COWBOY,14.99,Documentary
1591,WCBRKH,RFDDOIWGSD,44,1,ACADEMY COMANCHEROS,9.99,Music
353,DIMSOQ,JJSJFMWEDX,45,1,ACADEMY VISION,28.99,Music
353,DIMSOQ,JJSJFMWEDX,45,1,ACADEMY CLUE,11.99,Classics
353,DIMSOQ,JJSJFMWEDX,45,2,ACADEMY INSIDER,29.99,Horror
202,EBVMXQ,HHBKFEAJGU,46,2,ACADEMY HAMLET,28.99,Drama
587,KZWXWZ,MUGCBKNHFH,47,1,ACADEMY MEET,16.99,Sports
587,KZWXWZ,MUGCBKNHFH,47,2,ACADEMY ARACHNOPHOBIA,26.99,Horror
587,KZWXWZ,MUGCBKNHFH,47,3,ACADEMY SNATCH,22.99,Comedy
587,KZWXWZ,MUGCBKNHFH,47,3,ACADEMY GILBERT,9.99,Sports
587,KZWXWZ,MUGCBKNHFH,47,2,ACADEMY ARGONAUTS,13.99,Horror
587,KZWXWZ,MUGCBKNHFH,47,2,ACADEMY CYCLONE,22.99,Sports
587,KZWXWZ,MUGCBKNHFH,47,1,ACADEMY PRIX,23.99,Children
587,KZWXWZ,MUGCBKNHFH,47,2,ACADEMY TIGHTS,23.99,Music
587,KZWXWZ,MUGCBKNHFH,47,1,ACADEMY FUGITIVE,9.99,Sci-Fi
1607,BRACGK,MYZUXMZJWB,48,1,ACADEMY TRAINSPOTTING,14.99,Animation
1607,BRACGK,MYZUXMZJWB,48,1,ACADEMY RUSH,23.99,Classics
1607,BRACGK,MYZUXMZJWB,48,1,ACADEMY SLUMS,25.99,Family
1607,BRACGK,MYZUXMZJWB,48,1,ACADEMY MONSTER,25.99,Classics
1607,BRACGK,MYZUXMZJWB,48,1,ACADEMY BUBBLE,16.99,Games
1607,BRACGK,MYZUXMZJWB,48,1,ACADEMY DOUBLE,17.99,Action
1607,BRACGK,MYZUXMZJWB,48,1,ACADEMY MONEY,27.99,Sports
1892,CBDPTR,QOFBDBXSUW,49,1,ACADEMY ISHTAR,15.99,Animation
1892,CBDPTR,QOFBDBXSUW,49,1,ACADEMY MODEL,26.99,Animation
1892,CBDPTR,QOFBDBXSUW,49,2,ACADEMY MOB,20.99,Music
1892,CBDPTR,QOFBDBXSUW,49,3,ACADEMY SNOWMAN,26.99,Animation
1892,CBDPTR,QOFBDBXSUW,49,2,ACADEMY LOLA,29.99,Animation
1892,CBDPTR,QOFBDBXSUW,49,1,ACADEMY RIDGEMONT,28.99,Horror
1892,CBDPTR,QOFBDBXSUW,49,2,ACADEMY DYING,9.99,Animation
1892,CBDPTR,QOFBDBXSUW,49,1,ACADEMY LUCK,20.99,Sports
1892,CBDPTR,QOFBDBXSUW,49,2,ACADEMY VALLEY,22.99,Classics
1046,RQOYNM,OHLUUNRGWK,50,2,ACADEMY PINOCCHIO,26.99,Games
1046,RQOYNM,OHLUUNRGWK,50,1,ACADEMY HUSTLER,14.99,Sci-Fi
1046,RQOYNM,OHLUUNRGWK,50,1,ACADEMY PURE,23.99,Comedy
1519,CNKQQN,ZJBABMOHEG,51,3,ACADEMY ALONE,28.99,Drama
1519,CNKQQN,ZJBABMOHEG,51,2,ACADEMY STRANGER,22.99,New
1519,CNKQQN,ZJBABMOHEG,51,3,ACADEMY FLATLINERS,17.99,Travel
1519,CNKQQN,ZJBABMOHEG,51,3,ACADEMY LOLA,29.99,Animation
1519,CNKQQN,ZJBABMOHEG,51,1,ACADEMY DRAGONFLY,13.99,Music
1519,CNKQQN,ZJBABMOHEG,51,2,ACADEMY BIRCH,24.99,Animation
1519,CNKQQN,ZJBABMOHEG,51,2,ACADEMY TIGHTS,23.99,Music
1643,NYBOCH,WJLBIEYVEN,52,2,ACADEMY FURY,18.99,Music
1643,NYBOCH,WJLBIEYVEN,52,1,ACADEMY ATTACKS,23.99,Music
1643,NYBOCH,WJLBIEYVEN,52,2,ACADEMY AGENT,15.99,Foreign
1643,NYBOCH,WJLBIEYVEN,52,3,ACADEMY EXORCIST,26.99,Sports
1643,NYBOCH,WJLBIEYVEN,52,2,ACADEMY SORORITY,25.99,Music
1643,NYBOCH,WJLBIEYVEN,52,1,ACADEMY INVASION,17.99,Comedy
1643,NYBOCH,WJLBIEYVEN,52,2,ACADEMY CROOKED,22.99,Classics
87,VAWCEX,AGDCPNPNJZ,53,2,ACADEMY RAIDERS,22.99,Children
87,VAWCEX,AGDCPNPNJZ,53,3,ACADEMY BRANNIGAN,17.99,Foreign
87,VAWCEX,AGDCPNPNJZ,53,1,ACADEMY SUPERFLY,29.99,Documentary
1515,UPYFNO,CBJFBBOURB,54,3,ACADEMY MINDS,16.99,Family
1846,JWSWUP,QWEHNKBQWH,55,1,ACADEMY VISION,28.99,Music
1846,JWSWUP,QWEHNKBQWH,55,1,ACADEMY EGYPT,19.99,Horror
1846,JWSWUP,QWEHNKBQWH,55,1,ACADEMY SLUMS,25.99,Family
1846,JWSWUP,QWEHNKBQWH,55,1,ACADEMY ROXANNE,28.99,Drama
1846,JWSWUP,QWEHNKBQWH,55,3,ACADEMY CONFIDENTIAL,17.99,Children
1846,JWSWUP,QWEHNKBQWH,55,1,ACADEMY SANTA,13.99,Sci-Fi
1846,JWSWUP,QWEHNKBQWH,55,3,ACADEMY WOMEN,16.99,Games
1846,JWSWUP,QWEHNKBQWH,55,3,ACADEMY FUGITIVE,9.99,Sci-Fi
869,DWNHTC,FCIDQJMHJD,56,1,ACADEMY MOULIN,11.99,Sci-Fi
869,DWNHTC,FCIDQJMHJD,56,2,ACADEMY BLOOD,27.99,Comedy
869,DWNHTC,FCIDQJMHJD,56,2,ACADEMY CHARADE,18.99,Documentary
1762,DSBOKK,JSCFMMGFTI,57,2,ACADEMY PEARL,11.99,Travel
1762,DSBOKK,JSCFMMGFTI,57,3,ACADEMY FIDELITY,14.99,Animation
245,RAAFCR,UIREZUJYWI,58,1,ACADEMY HARDLY,15.99,Horror
245,RAAFCR,UIREZUJYWI,58,1,ACADEMY IMAGE,27.99,Sports
245,RAAFCR,UIREZUJYWI,58,2,ACADEMY FEUD,19.99,New
245,RAAFCR,UIREZUJYWI,58,2,ACADEMY AGENT,15.99,Foreign
245,RAAFCR,UIREZUJYWI,58,2,ACADEMY CAT,14.99,Foreign
1561,QARSEY,DKWNNTOEBV,59,3,ACADEMY TRIP,13.99,Animation
1561,QARSEY,DKWNNTOEBV,59,1,ACADEMY BEDAZZLED,25.99,Drama
1561,QARSEY,DKWNNTOEBV,59,1,ACADEMY LOLITA,27.99,Travel
